,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Pickup Lat,Pickup Long,Destination Lat,Destination Long,No_Of_Orders,Age,Average_Rating,No_of_Ratings,User Id (num),Rider Id (num),Time from Pickup to Arrival
15,3,Business,2,4,12:33:50,2,4,12:52:23,2,4,13:17:57,2,4,13:38:25,2,4,14:10:11,13,,-1.3302996,36.8707935,-1.2644742,36.808345700000004,903,824,14.0,122,3599,427,1906
16,3,Business,19,3,11:57:55,19,3,11:58:07,19,3,12:07:53,19,3,12:15:32,19,3,12:54:00,17,,-1.3396256000000002,36.8863135,-1.2705296999999998,36.7987172,4371,1133,14.2,1262,198,265,2308
17,3,Business,15,2,11:34:28,15,2,11:35:48,15,2,12:19:58,15,2,12:25:08,15,2,13:09:07,13,24.4,-1.2574219,36.7927073,-1.3228003000000002,36.8306435,680,2890,13.9,27,1500,725,2639
18,3,Business,14,3,09:12:10,14,3,11:21:57,14,3,11:31:02,14,3,11:33:31,14,3,11:59:41,5,24.4,-1.2599563,36.799343900000004,-1.2867454,36.8259017,1202,576,13.4,105,391,436,1570
19,1,Personal,28,2,14:12:53,28,2,14:14:55,28,2,14:42:22,28,2,14:50:07,28,2,16:00:27,5,19.4,-1.2872899,36.820434000000006,-1.2898353999999999,36.787270299999996,492,740,13.9,47,3722,447,4220
20,3,Personal,12,2,10:04:11,12,2,10:26:25,12,2,10:41:32,12,2,10:44:52,12,2,11:03:24,7,20.8,-1.3023756000000002,36.7949276,-1.2574087999999999,36.799712,1941,1700,14.2,687,1960,366,1112
21,3,Business,22,3,10:42:19,22,3,10:42:39,22,3,11:14:29,22,3,11:15:38,22,3,11:51:02,24,23.3,-1.3244885,36.897791999999995,-1.3107918,36.761794,396,339,13.6,69,3698,856,2124
22,1,Personal,10,4,19:27:32,10,4,19:27:53,10,4,19:46:17,10,4,19:49:09,10,4,20:13:57,11,18.1,-1.2627555,36.792955299999996,-1.2105983999999999,36.8109774,2187,853,13.1,60,1362,881,1488
23,2,Personal,11,5,10:03:14,11,5,10:04:09,11,5,10:26:21,11,5,10:35:25,11,5,10:58:49,10,20.8,-1.3211235000000001,36.7765164,-1.2869041,36.8240057,2305,944,13.9,449,1404,338,1404
24,3,Business,11,2,15:38:33,11,2,15:42:08,11,2,15:50:17,11,2,15:53:17,11,2,16:53:34,3,22.5,-1.2969741000000001,36.7856612,-1.295908,36.791433000000005,1633,1719,13.9,521,2030,596,3617
25,3,Business,3,3,12:12:10,3,3,12:13:29,3,3,12:47:40,3,3,12:52:48,3,3,13:36:14,13,27.2,-1.2859912,36.8756811,-1.28878,36.8168312,847,297,14.0,108,346,76,2606
26,1,Business,5,5,14:42:27,5,5,14:45:42,5,5,14:59:57,5,5,15:01:56,5,5,15:21:05,5,26.5,-1.2735999,36.8218131,-1.2508229,36.7895263,2847,2362,13.7,640,1582,407,1149
27,3,Business,19,2,12:28:42,19,2,12:29:26,19,2,12:30:55,19,2,12:42:07,19,2,13:10:58,17,27.3,-1.2551895,36.7822034,-1.3339943,36.7263409,2588,1285,13.3,576,627,630,1731
28,3,Business,14,3,13:53:26,14,3,14:16:41,14,3,14:25:54,14,3,14:28:10,14,3,15:22:11,9,25.6,-1.279395,36.825364,-1.3242351,36.8202498,788,572,14.2,72,3560,237,3241
29,3,Business,28,3,08:33:07,28,3,08:33:21,28,3,08:37:38,28,3,08:45:10,28,3,08:57:03,1,20.5,-1.2608993,36.799246000000004,-1.2631940000000002,36.797624,2847,2362,13.7,640,2383,407,713
30,3,Business,10,1,15:26:29,10,1,15:26:50,10,1,15:47:49,10,1,15:52:11,10,1,16:29:12,20,18.8,-1.2917868000000001,36.7872675,-1.3700383,36.9190174,1465,719,14.3,130,1346,622,2221
31,3,Business,12,2,09:04:19,12,2,09:05:26,12,2,09:42:51,12,2,09:49:56,12,2,10:39:22,11,16.1,-1.3067663,36.8438792,-1.3457877,36.8811894,44,874,15.0,2,3184,302,2966
32,3,Business,17,3,16:08:47,17,3,16:18:18,17,3,16:26:43,17,3,16:36:18,17,3,17:06:41,12,,-1.225322,36.80855,-1.290894,36.822971,2414,946,13.7,299,909,634,1823
33,3,Business,22,2,16:17:07,22,2,16:17:53,22,2,16:27:17,22,2,16:47:56,22,2,17:12:40,12,25.3,-1.228911,36.881876,-1.2600926000000001,36.8088685,411,460,14.3,56,3291,75,1484
34,3,Business,13,4,14:42:33,13,4,14:43:54,13,4,14:53:49,13,4,14:58:13,13,4,15:11:53,3,22.3,-1.2551895,36.7822034,-1.2676026000000002,36.810362899999994,928,494,14.3,43,3222,523,820
35,3,Business,8,5,17:01:08,8,5,17:02:32,8,5,17:07:13,8,5,17:11:57,8,5,17:39:06,7,25.3,-1.2584143,36.8048002,-1.225322,36.80855,2493,902,13.7,285,788,903,1629
36,3,Business,28,1,11:47:23,28,1,13:01:54,28,1,13:02:08,28,1,13:35:48,28,1,13:35:50,4,26.3,-1.3167113000000001,36.8301563,-1.3004062,36.829741,7056,2047,13.3,411,393,619,2
37,3,Business,30,3,13:17:29,30,3,13:18:11,30,3,13:28:47,30,3,13:34:12,30,3,13:57:14,8,29.2,-1.2570328000000002,36.7869744,-1.2963097,36.7688221,635,674,12.0,35,142,328,1382
38,1,Personal,7,1,16:01:21,7,1,16:19:41,7,1,16:41:46,7,1,17:05:05,7,1,17:38:09,9,20.0,-1.3331402,36.8925275,-1.3793096000000002,36.931042100000006,5523,2234,13.6,1265,1015,521,1984
39,3,Business,14,4,08:35:04,14,4,08:36:10,14,4,08:42:35,14,4,08:55:16,14,4,09:27:37,16,18.0,-1.2602337,36.79905479999999,-1.3198615,36.7110323,903,824,14.0,122,1245,427,1941
40,3,Business,31,5,11:26:37,31,5,11:29:06,31,5,11:29:13,31,5,11:33:16,31,5,12:17:07,21,21.6,-1.2963097,36.7688221,-1.3160976999999998,36.913164200000004,4860,1707,14.1,1174,2634,330,2631
41,1,Personal,7,2,13:59:23,7,2,13:59:54,7,2,14:23:42,7,2,14:39:04,7,2,15:42:29,8,24.8,-1.2655332000000001,36.8094648,-1.2729217,36.762482899999995,284,758,14.6,82,379,229,3805
42,3,Business,24,3,16:57:28,24,3,16:57:59,24,3,17:16:11,24,3,17:51:50,24,3,18:26:37,16,,-1.225322,36.80855,-1.3025826,36.7670807,432,271,13.8,62,2869,484,2087
43,2,Personal,27,4,13:15:54,27,4,13:16:46,27,4,13:21:22,27,4,13:26:55,27,4,13:52:35,21,23.0,-1.301796,36.8012024,-1.3533402,36.9078924,517,874,13.7,157,407,844,1540
44,3,Business,3,3,14:11:49,3,3,14:16:34,3,3,14:37:07,3,3,14:42:20,3,3,15:17:46,9,28.1,-1.3025826,36.7670807,-1.2551895,36.7822034,877,901,13.5,124,2869,477,2126
45,2,Personal,16,4,11:19:46,16,4,11:20:52,16,4,11:33:06,16,4,11:34:35,16,4,11:45:03,2,14.7,-1.2642903,36.80021370000001,-1.269534,36.80697,4375,2362,14.4,1152,250,650,628
46,3,Business,26,2,14:22:29,26,2,14:45:33,26,2,14:49:55,26,2,14:52:46,26,2,15:18:05,8,,-1.2551895,36.7822034,-1.2998903,36.8179213,1337,875,14.2,243,3641,726,1519
47,1,Personal,27,4,15:09:20,27,4,15:25:10,27,4,15:53:55,27,4,15:55:27,27,4,16:31:39,18,25.0,-1.3832336,36.764737200000006,-1.3208162,36.8451209,2095,1358,14.1,667,1119,676,2172
48,3,Business,18,1,12:29:42,18,1,12:29:55,18,1,12:38:13,18,1,12:43:20,18,1,13:11:25,15,26.7,-1.3323107,36.8692616,-1.2613768,36.801941799999994,4375,2362,14.4,1152,2102,650,1685
49,3,Business,7,2,11:05:53,7,2,11:07:35,7,2,11:11:54,7,2,11:15:54,7,2,11:42:51,12,,-1.257028,36.7810435,-1.3073569,36.82021629999999,1730,1075,13.8,236,1976,647,1617
50,3,Personal,21,5,10:54:37,21,5,10:55:49,21,5,11:10:49,21,5,11:12:36,21,5,11:39:57,11,23.0,-1.3038645,36.8684596,-1.2950041,36.814358299999995,751,576,14.2,62,2761,675,1641
51,3,Business,9,3,10:11:22,9,3,10:11:27,9,3,10:11:32,9,3,10:17:20,9,3,10:51:09,19,17.6,-1.2559559999999999,36.789867,-1.334474,36.88389,2146,1179,14.2,557,3686,771,2029
52,3,Business,13,4,16:16:05,13,4,16:16:23,13,4,17:10:03,13,4,17:14:41,13,4,17:14:45,3,22.7,-1.2551895,36.7822034,-1.256522,36.786413200000005,1926,994,13.8,482,3326,536,4
53,3,Business,27,3,09:40:58,27,3,09:42:00,27,3,09:50:40,27,3,09:55:57,27,3,10:13:32,8,,-1.2551895,36.7822034,-1.2964347999999999,36.8182757,1270,367,14.4,131,3222,953,1055
54,3,Business,17,2,13:07:06,17,2,13:07:36,17,2,13:24:42,17,2,13:25:49,17,2,13:56:24,28,19.2,-1.3244885,36.897791999999995,-1.3107918,36.761794,4375,2362,14.4,1152,1271,650,1835
55,3,Business,14,5,12:49:23,14,5,14:34:49,14,5,15:10:48,14,5,15:12:55,14,5,15:47:48,8,23.9,-1.2663194,36.809901,-1.2985153,36.7876043,6724,2333,14.2,2046,893,441,2093
56,3,Business,5,5,13:05:35,5,5,13:06:06,5,5,13:12:13,5,5,13:23:52,5,5,13:55:30,10,24.7,-1.225322,36.80855,-1.2653185,36.8358841,2385,1276,13.3,559,909,108,1898
57,2,Personal,15,1,12:22:21,15,1,12:22:42,15,1,12:49:50,15,1,12:57:53,15,1,13:16:54,8,,-1.3929709,36.7504644,-1.3440693000000001,36.7518442,635,674,12.0,35,3730,328,1141
58,3,Business,8,5,10:17:51,8,5,10:18:18,8,5,10:25:16,8,5,10:43:06,8,5,11:30:13,18,28.2,-1.300921,36.828195,-1.177202,36.8351183,1591,801,14.1,187,2982,519,2827
59,1,Business,10,5,10:53:35,10,5,10:53:39,10,5,11:00:25,10,5,11:03:12,10,5,11:23:32,8,19.1,-1.2844653,36.8206676,-1.2963097,36.7688221,284,758,14.6,82,113,229,1220
60,3,Business,19,1,09:45:43,19,1,10:34:59,19,1,10:38:29,19,1,11:06:36,19,1,11:45:43,8,24.6,-1.2891921999999998,36.825189,-1.2963097,36.7688221,1850,998,14.4,360,1051,462,2347
61,3,Business,1,3,10:58:13,1,3,10:59:23,1,3,11:05:37,1,3,11:14:16,1,3,11:28:14,2,20.1,-1.2628638,36.8070399,-1.263419,36.8060348,779,873,14.2,89,20,208,838
62,3,Business,27,3,11:06:06,27,3,11:07:19,27,3,11:26:44,27,3,11:31:44,27,3,11:48:43,9,26.3,-1.265715,36.823815,-1.228911,36.881876,721,409,13.8,60,2069,269,1019
63,3,Business,15,6,09:43:01,15,6,09:43:16,15,6,09:55:41,15,6,10:03:17,15,6,10:23:28,14,17.7,-1.326471,36.8487849,-1.257028,36.7810435,730,740,13.8,71,1976,882,1211
64,3,Business,4,5,10:08:16,4,5,10:08:43,4,5,10:11:56,4,5,10:17:54,4,5,10:39:30,11,17.3,-1.3167113000000001,36.8301563,-1.2574219,36.7927073,928,494,14.3,43,517,523,1296
65,3,Business,8,3,17:40:32,8,3,17:42:44,8,3,17:42:48,8,3,17:52:13,8,3,19:03:46,11,,-1.28878,36.8168312,-1.2916953000000002,36.8855273,419,312,13.3,61,3470,61,4293
66,1,Personal,22,5,12:48:44,22,5,12:49:40,22,5,12:52:47,22,5,13:04:16,22,5,13:20:13,3,21.9,-1.304033,36.7848695,-1.2923533,36.7883364,225,878,14.1,66,1224,474,957
67,3,Business,7,4,10:25:56,7,4,10:26:20,7,4,10:42:53,7,4,10:52:17,7,4,10:58:47,2,24.5,-1.2527958000000001,36.8003131,-1.2571472,36.795063299999995,970,3251,13.3,53,2179,547,390
68,3,Business,16,3,14:29:26,16,3,14:30:29,16,3,14:46:02,16,3,15:01:39,16,3,15:09:49,4,26.9,-1.3077869,36.844320700000004,-1.3004062,36.829741,3837,2018,14.1,786,633,188,490
69,3,Business,5,1,10:21:12,5,1,10:21:59,5,1,10:25:13,5,1,10:31:12,5,1,10:47:46,9,18.4,-1.2594473999999998,36.8089122,-1.2273124,36.81636029999999,1299,986,13.1,287,893,101,994
70,1,Business,21,1,17:35:02,21,1,17:36:17,21,1,17:51:53,21,1,17:55:28,21,1,18:41:54,4,,-1.2536797,36.7995085,-1.2653906000000001,36.8134406,2305,703,13.1,91,598,668,2786
71,3,Business,14,5,11:27:53,14,5,11:35:27,14,5,11:49:13,14,5,11:58:22,14,5,12:12:29,7,22.0,-1.300921,36.828195,-1.3271684,36.8173021,847,297,14.0,108,435,76,847
72,2,Personal,18,4,13:00:14,18,4,13:01:22,18,4,13:20:58,18,4,13:31:48,18,4,13:59:29,6,25.7,-1.281892,36.7834972,-1.2544802,36.811182200000005,225,636,13.2,20,959,565,1661
73,3,Business,6,3,11:14:59,6,3,11:15:17,6,3,11:38:00,6,3,11:41:30,6,3,11:51:25,4,,-1.3077869,36.844320700000004,-1.3004062,36.829741,1220,339,14.6,119,633,448,595
74,3,Business,14,4,10:23:23,14,4,10:23:32,14,4,10:23:45,14,4,10:38:56,14,4,11:11:38,15,23.7,-1.2991441000000001,36.7528804,-1.3228003000000002,36.8306435,7204,1909,13.3,354,867,39,1962
75,3,Business,18,2,13:32:46,18,2,13:33:09,18,2,13:44:02,18,2,13:51:06,18,2,14:38:59,11,25.8,-1.2927792,36.9053492,-1.290894,36.822971,2473,1379,14.3,739,2200,231,2873
76,3,Business,14,1,15:42:01,14,1,15:45:43,14,1,16:03:04,14,1,16:10:55,14,1,16:38:46,19,25.6,-1.2859912,36.8756811,-1.3404187,36.7614685,2608,1798,13.2,504,1927,720,1671
77,2,Personal,27,5,09:27:36,27,5,09:50:43,27,5,10:13:00,27,5,10:14:36,27,5,10:51:58,19,16.2,-1.3605299,36.7579536,-1.2630828,36.805053799999996,2357,813,14.4,406,1218,194,2242
78,3,Business,7,4,15:34:03,7,4,15:34:18,7,4,15:41:51,7,4,15:47:43,7,4,16:33:10,19,31.0,-1.2571472,36.795063299999995,-1.3325582,36.740669700000005,3289,1706,13.6,642,970,401,2727
79,3,Business,8,5,11:16:38,8,5,11:18:06,8,5,11:25:50,8,5,11:33:00,8,5,12:40:05,15,28.2,-1.2551895,36.7822034,-1.3278522,36.8711134,2486,806,14.1,516,478,147,4025
80,3,Business,8,4,10:58:27,8,4,10:58:43,8,4,10:58:48,8,4,11:22:52,8,4,12:11:30,14,26.2,-1.3177546999999998,36.8303703,-1.306378,36.7519845,6856,2038,13.3,402,393,239,2918
81,3,Business,11,2,11:44:46,11,2,13:31:36,11,2,13:32:02,11,2,13:51:06,11,2,13:51:20,5,25.7,-1.269534,36.80697,-1.2551895,36.7822034,9140,2323,13.9,1256,2929,185,14
82,1,Business,14,7,13:49:56,14,7,13:50:37,14,7,14:06:44,14,7,14:09:55,14,7,14:21:14,8,28.6,-1.2248308,36.801257299999996,-1.207546,36.7913976,4486,1529,13.7,1393,824,743,679
83,3,Business,2,1,12:11:07,2,1,12:17:58,2,1,12:24:00,2,1,12:26:08,2,1,12:39:29,5,19.3,-1.2584143,36.8048002,-1.2885315,36.8230419,1337,875,14.2,243,2956,726,801
84,3,Business,18,4,09:45:36,18,4,09:52:02,18,4,10:04:47,18,4,10:17:20,18,4,10:40:01,11,,-1.265715,36.823815,-1.331619,36.847976,154,225,15.0,9,1796,710,1361
85,3,Business,7,3,11:12:58,7,3,11:19:32,7,3,11:31:13,7,3,11:34:33,7,3,11:57:02,8,25.2,-1.2702120000000001,36.82108770000001,-1.3271374,36.8495534,551,1065,13.2,176,2987,949,1349
86,3,Business,23,2,13:00:31,23,2,13:00:50,23,2,13:18:47,23,2,13:47:23,23,2,13:47:27,4,,-1.2839729,36.8115146,-1.2867454,36.8259017,365,269,13.8,40,391,613,4
87,3,Business,2,3,12:38:22,2,3,12:38:47,2,3,12:51:18,2,3,12:56:37,2,3,13:45:16,23,24.0,-1.228911,36.881876,-1.3444459999999998,36.756597,411,460,14.3,56,2150,75,2919
88,4,Business,18,4,12:34:58,18,4,12:35:03,18,4,12:36:47,18,4,12:48:39,18,4,13:07:46,12,25.5,-1.346286,36.768793,-1.293973,36.80169,1465,719,14.3,130,2358,622,1147
89,3,Personal,28,4,12:27:06,28,4,12:28:16,28,4,12:41:14,28,4,12:46:22,28,4,13:01:41,3,,-1.2995135,36.793363299999996,-1.2952784,36.7793271,3288,1204,14.2,1056,1450,124,919
90,3,Business,27,2,10:13:14,27,2,10:47:17,27,2,10:54:59,27,2,11:23:01,27,2,11:53:49,14,23.6,-1.3177546999999998,36.8303703,-1.306378,36.7519845,429,577,13.0,13,393,878,1848
91,3,Business,28,4,15:10:47,28,4,15:11:23,28,4,15:20:47,28,4,15:25:07,28,4,15:37:35,5,30.1,-1.2609745,36.7886626,-1.2743958,36.8215915,1988,1676,14.3,421,134,785,748
92,3,Business,25,2,10:49:53,25,2,10:52:27,25,2,11:04:30,25,2,11:19:26,25,2,12:20:53,9,23.9,-1.2869041,36.8240057,-1.2706815,36.7646286,1155,824,13.0,158,1281,532,3687
93,3,Business,3,3,13:54:12,3,3,13:56:02,3,3,13:56:25,3,3,14:31:08,3,3,14:44:52,7,26.7,-1.2886923000000001,36.8241519,-1.2571472,36.795063299999995,2959,1156,14.1,655,419,6,824
94,3,Business,24,5,15:10:32,24,5,15:12:10,24,5,15:12:59,24,5,15:17:43,24,5,16:42:48,18,22.8,-1.3705766000000001,36.9120742,-1.279395,36.825364,626,307,13.5,54,3560,564,5105
95,3,Business,5,1,15:20:54,5,1,15:22:01,5,1,15:43:03,5,1,15:48:49,5,1,16:13:36,5,25.8,-1.28878,36.8168312,-1.2597528999999998,36.806629,2719,2326,13.7,681,1578,795,1487
96,1,Personal,17,1,10:40:49,17,1,10:53:09,17,1,11:11:00,17,1,11:19:50,17,1,11:48:04,4,25.2,-1.3025958,36.8614441,-1.3302867,36.8542859,135,677,14.3,8,1187,810,1694
97,3,Business,13,1,15:18:01,13,1,15:22:55,13,1,15:33:57,13,1,15:37:17,13,1,15:59:04,6,,-1.273056,36.811298,-1.2370629,36.79819620000001,718,237,14.0,83,1329,161,1307
98,3,Business,13,1,09:13:15,13,1,09:13:53,13,1,09:18:28,13,1,09:19:53,13,1,10:03:34,20,,-1.2551895,36.7822034,-1.3251247,36.899592600000005,3920,2224,14.5,813,2523,190,2621
99,2,Personal,18,5,18:52:38,18,5,19:28:20,18,5,19:42:19,18,5,20:01:32,18,5,20:21:28,4,19.3,-1.25537,36.7756,-1.271377,36.7884294,680,982,14.0,207,3544,103,1196
100,3,Business,30,4,10:14:36,30,4,10:15:05,30,4,10:27:30,30,4,10:47:24,30,4,10:59:48,4,,-1.3228003000000002,36.8306435,-1.3004062,36.829741,615,341,14.7,30,517,349,744
101,3,Business,5,2,15:37:08,5,2,15:42:48,5,2,16:09:12,5,2,16:14:13,5,2,16:36:57,6,27.7,-1.2571472,36.795063299999995,-1.2925919,36.81705770000001,3604,820,14.2,586,186,85,1364
102,3,Business,19,2,08:35:26,19,2,08:35:42,19,2,08:38:54,19,2,08:44:23,19,2,08:49:51,4,21.3,-1.2836583000000001,36.7886014,-1.2913246,36.8019522,2481,752,14.3,322,3621,247,328
103,3,Business,8,5,10:42:55,8,5,10:43:41,8,5,10:47:05,8,5,10:51:57,8,5,11:16:52,11,28.6,-1.3167113000000001,36.8301563,-1.2638185,36.7930057,903,356,14.2,108,393,411,1495
104,1,Business,19,2,16:56:04,19,2,16:58:35,19,2,17:07:03,19,2,17:11:38,19,2,17:39:51,6,19.7,-1.2536041999999998,36.806489500000005,-1.2668264999999999,36.7680484,903,824,14.0,122,598,427,1693
105,3,Business,29,3,10:10:45,29,3,10:12:06,29,3,10:32:48,29,3,10:39:04,29,3,11:10:58,14,,-1.3228003000000002,36.8306435,-1.2991441000000001,36.7528804,1255,593,14.5,93,517,829,1914
106,3,Business,30,6,09:15:37,30,6,09:16:22,30,6,09:28:46,30,6,09:33:10,30,6,10:07:23,9,,-1.2836583000000001,36.7886014,-1.3222535,36.8246176,172,252,13.7,22,3621,508,2053
107,3,Business,27,4,14:49:57,27,4,14:56:02,27,4,15:04:43,27,4,15:08:39,27,4,15:36:08,10,23.7,-1.2790196000000003,36.8160867,-1.2906539,36.7523571,179,810,15.0,22,49,21,1649
108,3,Business,18,3,07:53:59,18,3,07:54:13,18,3,07:58:02,18,3,08:03:53,18,3,08:37:21,15,14.5,-1.2551895,36.7822034,-1.2686837,36.8891847,705,874,14.3,176,797,116,2008
109,3,Business,18,2,11:39:06,18,2,12:13:11,18,2,12:15:50,18,2,12:28:06,18,2,12:54:05,10,,-1.2996533000000001,36.829262899999996,-1.2991441000000001,36.7528804,4088,2257,14.1,799,867,555,1559
110,3,Personal,27,4,14:35:20,27,4,14:36:26,27,4,14:48:39,27,4,15:03:15,27,4,15:06:50,4,25.2,-1.2850643999999998,36.8343657,-1.2900260000000001,36.8165275,2222,1162,14.0,574,247,531,215
111,3,Business,18,1,13:47:49,18,1,13:52:32,18,1,14:15:48,18,1,14:19:36,18,1,14:53:12,7,30.8,-1.3047473,36.830562,-1.2963097,36.7688221,1220,339,14.6,119,2676,448,2016
112,3,Business,16,2,14:25:06,16,2,15:03:53,16,2,15:22:34,16,2,15:23:52,16,2,15:41:24,6,,-1.2765736,36.851364600000004,-1.28878,36.8168312,557,239,14.6,55,2587,438,1052
113,3,Business,5,2,10:42:42,5,2,11:04:08,5,2,11:13:21,5,2,11:20:25,5,2,11:53:24,17,23.8,-1.3339943,36.7263409,-1.2830989,36.8165739,1687,548,13.8,297,1761,952,1979
114,3,Business,10,3,09:26:03,10,3,09:26:41,10,3,09:26:48,10,3,09:31:53,10,3,09:38:09,2,21.7,-1.2963097,36.7688221,-1.2969741000000001,36.7856612,557,239,14.6,55,2030,438,376
115,1,Personal,20,4,11:07:08,20,4,11:11:11,20,4,11:43:35,20,4,11:46:15,20,4,12:20:32,9,24.6,-1.3112754999999998,36.743061100000006,-1.29817,36.800141700000005,1415,1516,13.5,519,3548,482,2057
116,3,Business,8,1,11:00:26,8,1,11:02:10,8,1,11:13:18,8,1,11:16:14,8,1,11:53:10,16,27.7,-1.2726389999999999,36.794723,-1.2155671000000001,36.8898931,643,307,13.9,58,3647,245,2216
117,1,Personal,10,5,12:13:28,10,5,12:15:24,10,5,12:22:37,10,5,12:27:07,10,5,12:48:58,6,19.1,-1.2998551999999999,36.818707700000004,-1.2781391000000002,36.8267148,191,713,14.0,29,2178,249,1311
118,3,Business,11,4,16:28:27,11,4,16:29:29,11,4,17:11:31,11,4,17:20:37,11,4,18:01:07,19,24.2,-1.2726389999999999,36.794723,-1.1940334,36.918732399999996,2711,1412,14.3,519,3647,606,2430
119,3,Business,5,1,15:48:20,5,1,15:48:27,5,1,15:51:12,5,1,16:12:27,5,1,16:36:18,14,25.9,-1.2615888000000002,36.7928732,-1.2283403,36.8822756,2107,1128,13.5,461,1637,551,1431
120,2,Personal,22,6,12:05:26,22,6,12:05:54,22,6,12:30:13,22,6,12:47:25,22,6,13:13:53,8,21.2,-1.2755887,36.8742523,-1.2677646,36.8298466,2212,1447,14.2,542,3508,408,1588
121,1,Personal,4,1,19:41:14,4,1,19:41:33,4,1,19:44:34,4,1,19:51:29,4,1,19:59:12,6,18.9,-1.273056,36.811298,-1.297657,36.7995692,705,874,14.3,176,1573,116,463
122,1,Personal,25,3,14:08:28,25,3,14:08:39,25,3,14:28:47,25,3,14:31:45,25,3,14:56:36,20,17.9,-1.215678,36.873872,-1.293393,36.790237,4371,1133,14.2,1262,2332,265,1491
